date,content,username,likes,retweets,sentiment
2025-04-07T17:07:15.000Z,"#CryрtoРump🔥

➜ https://t.co/HOyL2apmVR

📈 Make 150-250% within MINUTES! 🚀

gnGbVP2F @JavSauce @tnhnil1 @rlvoyz2VblDmGOz @krks_Memecoin @OProsper47358 @quebientavo @KhatiwadaSummit @PatriciaGa71910 @kazimstan @AhmedMuhthar313 @Bilal6891167",FarmerRica16828,0,0,0.0
2025-04-07T17:07:14.000Z,"#CryрtoРump🔥

➜ https://t.co/8M36PLU6OO

📈 Make 150-250% within MINUTES! 🚀

y4WuMsQv @gatoruso17 @ThejuGowda82530 @TSicangco @JohnREvans8728 @zin_htet4388 @Mostafa1260251 @Niawaty18 @0hHazmat22839 @roadtowhale @_h0n3y_b4dg3r_ @pepe_misty",AidenAdria66367,0,0,0.0
2025-04-07T17:07:14.000Z,"#CryрtoРump🔥

➜ https://t.co/YnIPz0zXHS

📈 Make 150-250% within MINUTES! 🚀

rRxLeOJP @ShedrackAd47634 @savcturgut5 @jimjim_memecoin @JosephKamg49765 @mustafa_3508 @Wul_wulandariii @HariomY26170385 @Alix35922789 @IsmailaGra42624 @smoothkalifa27 @Taylor_Vidal",JayPhillip26808,0,0,0.0
2025-04-07T17:07:14.000Z,"#CryрtoРump🔥

➜ https://t.co/sGV5YYXkIh

📈 Make 150-250% within MINUTES! 🚀

6GIBQbgr @memecoin_5610 @wilowsuton @salmankhn876 @sitaram55668 @checktawil77821 @SoulOutm @AmaralPing66657 @Distortioner @Bright395 @PhongPham8 @FFanAddict",EddieClark42278,0,0,0.0
2025-04-07T17:07:13.000Z,RT @JakeGagain: $PEPE Will Save The Memecoin Space. https://t.co/J2QablmAbh,EddyLop26740391,0,128,0.0
2025-04-07T17:07:13.000Z,@bingdyor $PEPE never left,sneaksfk,0,0,0.0
2025-04-07T17:07:13.000Z,"The memecoin world is a lawless land full of opportunity. Saddle up, cowboy!",FerminVirz37256,0,0,0.4375
2025-04-07T17:07:11.000Z,"Someone said this is the PEPE dev..  

Did you $APE ?

$ETH play! 

https://t.co/HAXvJCW4eH",DegenApeDev,0,0,0.0
2025-04-07T17:07:08.000Z,"#CryрtoРump🔥

➜ https://t.co/Nd6crr5E4L

📈 Make 150-250% within MINUTES! 🚀

fmJl3BVO @DachiaAdamu @katgibswing @OGQUANBEATS252 @9074l1fe @Olumide_Moore_ @anik667788 @CruzHenrickson @FranHouq @memecoin_mill @ahmed_tous57147 @JosephLocke",TylerBerri26278,0,0,0.0
2025-04-07T17:07:08.000Z,"When the crypto world is hell we ducks swim🔥🔥🔥🚀
        Join now!!😈🔥
Presale website is live🔑:
https://t.co/K4melQUpTu

#solana #Crypto #solanamemecoin #MEMECoin #memecoins #MemeCoinMadness #MemecoinPump #SolanaSeason https://t.co/XglBivZ9MJ",sparrow_sols,0,0,0.0
2025-04-07T17:07:07.000Z,"#CryрtoРump🔥

➜ https://t.co/YdGwLaL566

📈 Make 150-250% within MINUTES! 🚀

RBAU6rM2 @lucreao @Komilu @Tosh_republic @hodlerpokadot6 @chase_cowi77040 @ryanm12030 @0123456789hhaa @Leandro37821882 @Paulmbapuun1 @PEPE_CULTURE @KkkkK_11118",EdgarFane45691,0,0,0.0
2025-04-07T17:07:07.000Z,"RT @Anonn_nr: @daumeneth Missed $PEPE? Missed $DOGE?

 Don’t miss $SNOR. $900k mcap.
Diamond-handed community.
Building. Join @SNORBNB and…",kyian666098,0,15,0.0
2025-04-07T17:07:07.000Z,"#CryрtoРump🔥

➜ https://t.co/TXLYhEE7o2

📈 Make 150-250% within MINUTES! 🚀

A4P7lJo0 @RealML26 @Newhere57321642 @mom_memecoin @KaiqueR24 @soi96x @Ammeark @defiaautumn23 @rocmyhesterdrye @14druza @SaberSoftworks @a_nk1984",ThomasMitc50194,0,0,0.0
2025-04-07T17:07:07.000Z,"#CryрtoРump🔥

➜ https://t.co/DPXpDCSzt9

📈 Make 150-250% within MINUTES! 🚀

dvkZtmUe @gm_eth7584 @jone_etxeberria @ajayi_thomas @Pepe_Wif_Hatsol @Chilla88 @adeliinekyber @chapmanxrp @braszzee @Trey96956773242 @gotristo @YayaAuwall",AidenFulto63038,0,0,0.0
2025-04-07T17:07:05.000Z,"RT @qstnus: 🎉 Weekend Survey with @PEPEGAMES_69! 🐸

Got love for memes and $PEPE? Share your insights on memecoins and earn! 💰

First 25 ea…",ardog21,0,45,0.4375
2025-04-07T17:07:04.000Z,"RT @Tu76477284: @JakeGagain More than a community. More than a cult. We are family. $APE FAMILY 

CTO Support DEV $PEPE OG 

https://t.co/e…",Slim_mighty_x,0,10,0.5
2025-04-07T17:07:03.000Z,"125.54% Gains from $TAO?!

That’s not a typo – this is real profit.
Join us &amp; get the same winning signals – FREE for 14 days!

&lt;_\&lt;  https://t.co/x97eElOROR

$TAO $BOTIFY $PEPE $JUP $ETH $DOGE $PX $HBAR $SUI https://t.co/StYliiu3tH",CookPitter48744,0,0,0.3
2025-04-07T17:07:02.000Z,"📍Rosario
Recién estuvimos en Trascendental de @LT8am830  charlando con con Pepe Maggi, sobre la unidad que construimos este año en Santa Fe para la elección de convencionales constituyentes. https://t.co/BCTmn1HLM9",juanmonteverde,0,0,0.0
2025-04-07T17:07:01.000Z,"$GCO got that DOGE energy + SHIBA spirit + PEPE virality✨⚡️
But it's still early...⏰
You already know what happens next
#GCO #Next100x #MoonMission #CryptoInvesting #memecoin #Moonshot #SolanaMemeCoins",OfGrokCoin,1,0,0.0
2025-04-07T17:07:00.000Z,"If you don't take risks, you'll have a lost soul.
DEUS VULT!!
$PEPE TEMPLAR 
$PEPETEMP https://t.co/ni1C8mlvPq",ThePepeTemplar,1,0,0.0
2025-04-07T17:06:57.000Z,@pepe_maltese @LiberalPT https://t.co/jDHpux8tpp,GabrielSerial98,0,0,0.0
2025-04-07T17:06:57.000Z,"RT @KriptoAltar: $MIU COİN = YENİ NESİL PEPE!
3B MCAP’E ULAŞTIĞINDA POTANSİYELİ 280X!

Bu sadece bir meme coin değil kardeşim…Dahası var!
M…",alisoytop,0,22,0.0
2025-04-07T17:06:57.000Z,"RT @CanalRed_TV: ""Por poco que sea lo que puedes hacer, hay que hacerlo""

El actor Pepe Viyuela sobre su actividad solidaria en Payasos sin…",NICOLASRAMOSAL7,0,54,0.0
2025-04-07T17:06:53.000Z,"RT @Anonn_nr: @daumeneth Missed $PEPE? Missed $DOGE?

 Don’t miss $SNOR. $900k mcap.
Diamond-handed community.
Building. Join @SNORBNB and…",favour42817,0,15,0.0
2025-04-07T17:06:53.000Z,"RT @Berkansolana: You’ll receive 50000000000

50000000000 $PEPE (2.15 ETH) each to the first 4900 people who follows and retweets pinned 📌…",z3r01420,0,22,0.25
2025-04-07T17:06:50.000Z,@shrebobo S&amp;P500 trading like a memecoin today,1kartul,0,0,0.0
2025-04-07T17:06:50.000Z,@stephcurryyuri pepe i screamed thats like the frog,cherrracey,0,0,0.0
2025-04-07T17:06:49.000Z,"@Memesareus83880 💻 Forget the moon; we’re going to Mars with this memecoin! The hype is real, and so are the gains.

EJyBKeWVxeQYFAhZibuCc6E34PJ7w7dMGLkKPx3K5nPz",QuizHunterID0x,0,0,0.2
